Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
*	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
AAVS1	0.469168026101142	0.963315217391305	0.530342577487765	0.954441260744986
ABCA13	0.637846655791191	0.979949874686717	0.339641109298532	0.862592592592593
ADAM17	0.346166394779772	0.963315217391305	0.652365415986949	0.982082324455206
ADAMTSL3	0.791517128874388	0.999673735725938	0.207504078303426	0.862592592592593
ADAT1	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
AKT1	0.961663947797716	0.999673735725938	0.0376835236541598	0.577499999999999
ALDH16A1	0.808482871125612	0.999673735725938	0.19021207177814	0.862592592592593
ANKRD22	0.273409461663948	0.946892655367231	0.724469820554649	0.990556492411467
ASAP	0.821859706362153	0.999673735725938	0.178140293637847	0.862592592592593
ATM	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
ATP7A	0.220717781402936	0.924832214765101	0.777487765089723	0.990556492411467
ATP7B	0.106199021207178	0.829591836734694	0.893311582381729	0.990556492411467
ATR	0.919086460032626	0.999673735725938	0.0802610114192496	0.753030303030303
BCL2L1	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
BCL6B	0.578303425774878	0.963315217391305	0.379934747145188	0.862592592592593
BECN1	0.00897226753670477	0.829591836734694	0.990864600326264	0.994108019639934
BRCA2	0.771941272430669	0.999673735725938	0.2278955954323	0.862592592592593
C1R	0.0900489396411093	0.829591836734694	0.909298531810767	0.990556492411467
CADM1	0.704078303425775	0.999673735725938	0.295758564437194	0.862592592592593
CCND1	0.730995106035889	0.999673735725938	0.269004893964111	0.862592592592593
CDH4	0.730995106035889	0.999673735725938	0.269004893964111	0.862592592592593
CELF1	0.987438825448613	0.999673735725938	0.0125611745513866	0.334782608695652
CLEC2B	0.121207177814029	0.829591836734694	0.878792822185971	0.990556492411467
CLSTN2	0.637846655791191	0.979949874686717	0.339641109298532	0.862592592592593
CLSTN3	0.842088091353997	0.999673735725938	0.156280587275693	0.862592592592593
