ID	Gene	week0.1	week4.1
AAVS1_0	AAVS1	3	2
AAVS1_3	AAVS1	3	3
AAVS1_5	AAVS1	2	1
AAVS1_7	AAVS1	9	6
AAVS1_8	AAVS1	24	19
AAVS1_10	AAVS1	4	4
AAVS1_11	AAVS1	6	9
AAVS1_15	AAVS1	2	3
AAVS1_16	AAVS1	12	1
AAVS1_19	AAVS1	1	8
AAVS1_21	AAVS1	6	6
AAVS1_22	AAVS1	25	45
AAVS1_25	AAVS1	14	22
AAVS1_26	AAVS1	2	4
AAVS1_30	AAVS1	11	20
AAVS1_31	AAVS1	21	24
AAVS1_32	AAVS1	4	1
AAVS1_33	AAVS1	25	26
AAVS1_34	AAVS1	3	7
AAVS1_35	AAVS1	4	13
AAVS1_36	AAVS1	9	6
AAVS1_37	AAVS1	13	4
AAVS1_38	AAVS1	10	10
AAVS1_39	AAVS1	17	11
AAVS1_40	AAVS1	7	8
AAVS1_42	AAVS1	11	5
AAVS1_43	AAVS1	2	4
AAVS1_44	AAVS1	1	2
AAVS1_45	AAVS1	23	37
AAVS1_46	AAVS1	4	0
AAVS1_47	AAVS1	15	7
AAVS1_49	AAVS1	1	0
AAVS1_50	AAVS1	8	12
AAVS1_51	AAVS1	1	0
AAVS1_53	AAVS1	8	15
AAVS1_57	AAVS1	4	7
AAVS1_58	AAVS1	9	9
AAVS1_59	AAVS1	15	16
AAVS1_62	AAVS1	8	2
AAVS1_63	AAVS1	6	8
AAVS1_64	AAVS1	31	40
AAVS1_67	AAVS1	16	24
AAVS1_68	AAVS1	29	10
AAVS1_70	AAVS1	12	12
AAVS1_75	AAVS1	7	16
AAVS1_82	AAVS1	6	3
AAVS1_83	AAVS1	17	33
AAVS1_85	AAVS1	6	6
AAVS1_86	AAVS1	7	9
AAVS1_88	AAVS1	4	4
AAVS1_89	AAVS1	32	58
AAVS1_93	AAVS1	12	4
AAVS1_101	AAVS1	14	3
AAVS1_105	AAVS1	9	13
AAVS1_106	AAVS1	8	3
AAVS1_110	AAVS1	23	22
AAVS1_126	AAVS1	10	17
AAVS1_128	AAVS1	7	4
AAVS1_129	AAVS1	5	8
AAVS1_131	AAVS1	37	63
AAVS1_134	AAVS1	6	4
AAVS1_139	AAVS1	8	20
AAVS1_146	AAVS1	0	0
AAVS1_151	AAVS1	6	19
AAVS1_156	AAVS1	6	8
AAVS1_159	AAVS1	4	2
AAVS1_160	AAVS1	11	12
AAVS1_175	AAVS1	3	2
AAVS1_177	AAVS1	87	94
AAVS1_185	AAVS1	10	10
AAVS1_189	AAVS1	30	27
AAVS1_191	AAVS1	3	4
AAVS1_195	AAVS1	18	29
AAVS1_199	AAVS1	1	2
AAVS1_200	AAVS1	3	4
AAVS1_203	AAVS1	6	4
AAVS1_211	AAVS1	2	4
AAVS1_212	AAVS1	8	17
AAVS1_232	AAVS1	8	6
ABCA13_1	ABCA13	11	16
ABCA13_2	ABCA13	8	0
ABCA13_3	ABCA13	1	0
ABCA13_4	ABCA13	40	62
ABCA13_5	ABCA13	15	15
ADAM17_1	ADAM17	9	3
ADAM17_2	ADAM17	13	16
ADAM17_3	ADAM17	7	8
ADAM17_4	ADAM17	0	0
ADAM17_5	ADAM17	130	170
ADAMTSL3_1	ADAMTSL3	15	16
ADAMTSL3_2	ADAMTSL3	9	15
ADAMTSL3_3	ADAMTSL3	5	3
ADAMTSL3_4	ADAMTSL3	79	63
ADAMTSL3_5	ADAMTSL3	51	46
ADAMTSL3_6	ADAMTSL3	54	68
ADAMTSL3_7	ADAMTSL3	25	51
ADAMTSL3_8	ADAMTSL3	18	9
ADAMTSL3_9	ADAMTSL3	10	9
ADAMTSL3_10	ADAMTSL3	75	53
ADAT1_1	ADAT1	7	18
ADAT1_2	ADAT1	2	2
ADAT1_3	ADAT1	61	51
ADAT1_4	ADAT1	34	31
ADAT1_5	ADAT1	12	12
AKT1_1	AKT1	17	6
AKT1_2	AKT1	9	13
AKT1_3	AKT1	20	11
AKT1_4	AKT1	16	11
AKT1_5	AKT1	32	29
ALDH16A1_1	ALDH16A1	27	25
ALDH16A1_2	ALDH16A1	64	73
ALDH16A1_3	ALDH16A1	9	8
ALDH16A1_4	ALDH16A1	3	2
ALDH16A1_5	ALDH16A1	23	19
ANKRD22_1	ANKRD22	19	19
ANKRD22_2	ANKRD22	38	30
ANKRD22_3	ANKRD22	5	6
ANKRD22_4	ANKRD22	34	54
ANKRD22_5	ANKRD22	54	42
ANKRD22_6	ANKRD22	39	50
ANKRD22_7	ANKRD22	2	0
ANKRD22_8	ANKRD22	7	10
ANKRD22_9	ANKRD22	0	3
ANKRD22_10	ANKRD22	5	6
ASAP_1	ASAP	7	2
ASAP_2	ASAP	12	15
ASAP_3	ASAP	10	21
ASAP_4	ASAP	6	14
ASAP_5	ASAP	7	6
ASAP_6	ASAP	26	19
ASAP_7	ASAP	20	18
ASAP_8	ASAP	4	2
ASAP_9	ASAP	19	6
ASAP_10	ASAP	3	14
ATM_1	ATM	43	65
ATM_2	ATM	4	8
ATM_3	ATM	28	14
ATM_4	ATM	6	6
ATM_5	ATM	14	14
ATP7A_1	ATP7A	4	5
ATP7A_2	ATP7A	33	44
ATP7A_3	ATP7A	4	4
ATP7A_4	ATP7A	6	16
ATP7A_5	ATP7A	20	11
ATP7B_1	ATP7B	74	74
ATP7B_2	ATP7B	13	18
ATP7B_3	ATP7B	4	6
