id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RPSA	2	0.00012893	9.4078e-05	0.057576	1	2	-1.3831	0.99987	0.99991	1.0	551	0	-1.3831
candidate792	6	0.00056053	0.0028075	0.348864	2	6	-0.83191	0.99944	0.99945	1.0	550	0	-0.83191
TSSBRCA2	4	0.0007696	0.002243	0.348864	3	3	-0.81184	0.92267	0.87614	1.0	503	0	-0.81184
candidate504	6	0.0012208	0.005917	0.402357	4	4	-0.70626	0.94513	0.90085	1.0	508	0	-0.70626
RPL8	7	0.0015302	0.0075609	0.432231	5	4	-0.40626	0.90268	0.88	1.0	499	1	-0.40626
SMAD4	3	0.0015495	0.0036393	0.348864	6	2	-1.4024	0.52681	0.50893	0.987741	327	1	-1.4024
SNRNP200	3	0.0017311	0.0036492	0.348864	7	3	-1.4149	0.99716	0.99704	1.0	548	0	-1.4149
candidate734	4	0.0017649	0.0045504	0.348864	8	4	-0.40603	0.99824	0.99828	1.0	549	0	-0.40603
EHMT2	2	0.0019236	0.0025896	0.348864	9	2	-1.0486	0.925	0.91974	1.0	504	0	-1.0486
TSSPPAP2C	3	0.0023559	0.0045603	0.348864	10	3	-1.2051	0.98793	0.98925	1.0	539	0	-1.2051
TSSCELF1	4	0.0029516	0.010086	0.514394	11	2	-0.84651	0.84788	0.78324	1.0	475	0	-0.84651
PTEN	3	0.0031048	0.0077689	0.432231	12	2	-1.4642	0.76045	0.68428	1.0	421	0	-1.4642
DMD	4	0.0047967	0.014077	0.662704	13	3	-0.98986	0.97203	0.9737	1.0	527	0	-0.98986
RPS19	4	0.0064585	0.01994	0.842246	14	4	-0.70491	0.99354	0.99286	1.0	545	0	-0.70491
TSSATP7B	3	0.0069798	0.02096	0.842246	15	3	-0.90682	0.99302	0.99448	1.0	544	0	-0.90682
candidate525	6	0.0078082	0.028882	0.884091	16	4	-0.67276	0.16814	0.24038	0.793502	168	2	-0.67276
TSSCDH4	3	0.0078768	0.023396	0.842246	17	3	-1.3004	0.97325	0.97308	1.0	529	0	-1.3004
candidate532	6	0.008056	0.028892	0.884091	18	2	-0.28257	0.74893	0.75109	1.0	414	1	-0.28257
candidate500	5	0.0081711	0.022762	0.842246	19	3	-0.60277	0.039354	0.065642	0.710432	51	2	-0.60277
candidate641	4	0.0085497	0.037022	0.929521	20	4	-0.40572	0.99145	0.99073	1.0	541	0	-0.40572
RAMP1	5	0.0086041	0.025545	0.868519	21	4	-0.65708	0.93722	0.88512	1.0	506	0	-0.65708
RPL23A	4	0.011497	0.042013	0.929521	22	2	-0.27151	0.84429	0.78091	1.0	473	0	-0.27151
candidate685	5	0.012447	0.0515	0.964439	23	4	-0.59558	0.99698	0.99613	1.0	547	0	-0.59558
candidate589	4	0.012546	0.042023	0.929521	24	3	-0.48084	0.98257	0.982	1.0	536	0	-0.48084
TGFBR2	4	0.012775	0.042276	0.929521	25	3	-1.0491	0.95701	0.95125	1.0	512	0	-1.0491
PPIL2	4	0.013023	0.043172	0.929521	26	2	-1.0435	0.8767	0.80224	1.0	488	0	-1.0435
FBXL7	5	0.013714	0.052857	0.964439	27	3	-0.52835	0.14617	0.20302	0.75544	150	2	-0.52835
ERCC1	3	0.01381	0.035987	0.929521	28	3	-1.6879	0.98266	0.98156	1.0	537	0	-1.6879
candidate624	4	0.014547	0.045192	0.929521	29	3	-0.69235	0.11409	0.15642	0.719822	132	1	-0.69235
NHP2L1	4	0.015208	0.045202	0.929521	30	2	-0.7099	0.71424	0.67117	1.0	397	1	-0.7099
candidate755	3	0.015915	0.039359	0.929521	31	3	-0.38948	0.98408	0.98431	1.0	538	0	-0.38948
CLSTN3	4	0.016069	0.046539	0.929521	32	1	-0.16229	0.69481	0.65783	1.0	389	1	-0.16229
candidate777	5	0.019896	0.067781	1.0	33	3	-0.3182	0.97735	0.96905	1.0	533	0	-0.3182
candidate64	4	0.021816	0.05358	0.964439	34	3	-0.5625	0.83029	0.7809	1.0	461	0	-0.5625
FHOD3	5	0.021937	0.071356	1.0	35	2	0.53889	0.032456	0.056561	0.710432	47	3	0.53889
candidate501	4	0.023241	0.056125	0.981385	36	2	-0.25848	0.68812	0.65509	1.0	386	1	-0.25848
candidate577	5	0.024474	0.076277	1.0	37	3	-0.66287	0.2753	0.34408	0.888518	227	2	-0.66287
ATM	3	0.024622	0.060968	1.0	38	1	0.051552	0.61346	0.57936	1.0	358	1	0.051552
candidate62	4	0.025163	0.058898	1.0	39	2	-0.2645	0.35804	0.42855	0.987741	259	1	-0.2645
candidate794	3	0.025481	0.063126	1.0	40	3	-0.49833	0.97452	0.97445	1.0	531	0	-0.49833
candidate742	5	0.025713	0.076287	1.0	41	3	-0.55548	0.83473	0.80186	1.0	465	0	-0.55548
candidate58	5	0.027596	0.079496	1.0	42	2	-0.11134	0.7584	0.73732	1.0	420	1	-0.11134
candidate79	2	0.027971	0.047084	0.929521	43	2	-0.58126	0.97203	0.96989	1.0	528	0	-0.58126
