Gene	pos.pvalue	pos.fdr	neg.pvalue	neg.fdr
*	0.698435661343503	0.999240725923241	0.43665258703916	0.96381535756926
AAVS1	0.715015912643159	0.999240725923241	0.4147786187625	0.96381535756926
ABCA13	0.0581202903211854	0.962247002915446	0.482379158074495	0.96381535756926
ADAM17	0.909082898957479	0.999994678303908	0.139411989058745	0.96381535756926
ADAMTSL3	0.578449050700472	0.999240725923241	0.546293115169304	0.978251471144728
ADAT1	0.713701075367512	0.999240725923241	0.179939396197449	0.96381535756926
AKT1	0.738590130224692	0.999994678303908	0.211180593171627	0.96381535756926
ALDH16A1	0.892732724419491	0.999994678303908	0.217765294969488	0.96381535756926
ANKRD22	0.675389174956456	0.999240725923241	0.493699873208397	0.96381535756926
ASAP	0.61542463497169	0.999240725923241	0.576514247808887	0.99601666216953
ATM	0.27410366749975	0.962247002915446	0.839728042260258	0.99601666216953
ATP7A	0.168859012437507	0.962247002915446	0.0165679842462992	0.564231907943413
ATP7B	0.895078727572762	0.999994678303908	0.217019669478261	0.96381535756926
ATR	0.962871450542885	0.999994678303908	0.0941887509405239	0.905106345331804
BCL2L1	0.62213968333486	0.999240725923241	0.378328425634965	0.96381535756926
BCL6B	0.963078429446707	0.999994678303908	0.0883919546031907	0.905106345331804
BECN1	0.090325924846112	0.962247002915446	0.96541641677523	0.99601666216953
BRCA2	0.182079575791832	0.962247002915446	0.2904692372845	0.96381535756926
C1R	0.134364624852898	0.962247002915446	0.851891083680838	0.99601666216953
CADM1	0.86266785781635	0.999994678303908	0.165140642325339	0.96381535756926
CCND1	0.914395020273438	0.999994678303908	0.185279291190075	0.96381535756926
CDH4	0.182055422004094	0.962247002915446	0.897228515847782	0.99601666216953
CELF1	0.532055578308555	0.999240725923241	0.646027762615834	0.99601666216953
CLEC2B	0.402635742363778	0.967427988225044	0.755061791633473	0.99601666216953
CLSTN2	0.236326575201457	0.962247002915446	0.870427601119424	0.99601666216953
CLSTN3	0.696916560411421	0.999240725923241	0.452430993691779	0.96381535756926
DAG1	0.277755087114779	0.962247002915446	0.489390538436193	0.96381535756926
DMD	0.999906098482858	0.999994678303908	0.00034566846316586	0.0529736919801681
DNAH6	0.347430458943503	0.962247002915446	0.674427689572267	0.99601666216953
DSCAML1	0.865196734101294	0.999994678303908	0.267468401070053	0.96381535756926
DTNB	0.599158184270917	0.999240725923241	0.455871612388471	0.96381535756926
E2F2	0.163725306723237	0.962247002915446	0.393805569478208	0.96381535756926
EHMT2	0.994739680111433	0.999994678303908	0.00786032195863418	0.410182168761895
EIF2AK4	0.412226347411593	0.967427988225044	0.73652156574328	0.99601666216953
EIF3G	0.999970574529678	0.999994678303908	7.31807687888164e-05	0.0224299056337722
EIF5B	0.591314584880148	0.999240725923241	0.504159674052169	0.965780875606186
ENDOD1	0.0246729114685049	0.962247002915446	0.720906810972992	0.99601666216953
EPC1	0.143528835195567	0.962247002915446	0.824179249217263	0.99601666216953
EPHA2	0.0240918820111067	0.962247002915446	0.992841982028685	0.996736254736174
ERCC1	0.984853635152404	0.999994678303908	0.000856448380815	0.105000571487919
ETV6	0.595635872616481	0.999240725923241	0.489239218611727	0.96381535756926
FAM188A	0.581881029379264	0.999240725923241	0.397755261170295	0.96381535756926
FBN1	0.124475050545761	0.962247002915446	0.947994600531674	0.99601666216953
FBXL7	0.865524395593762	0.999994678303908	0.12973097680799	0.96381535756926
FHOD3	0.0632807433734827	0.962247002915446	0.951282170777385	0.99601666216953
FSIP1	0.388938638278191	0.967427988225044	0.777709136693694	0.99601666216953
GALNT5	0.145304759660684	0.962247002915446	0.924057047913361	0.99601666216953
GLTSCR2	0.948952651444023	0.999994678303908	0.0581676227292799	0.842782808502431
GRIA1	0.847942046634091	0.999994678303908	0.238876079409975	0.96381535756926
GRIA2	0.734688934399656	0.999994678303908	0.281127995850166	0.96381535756926
H19	0.299487858726228	0.962247002915446	0.830607424449366	0.99601666216953
HNRNPM	0.923162594535451	0.999994678303908	0.166393652652194	0.96381535756926
IK	0.656561044090405	0.999240725923241	0.22790354232975	0.96381535756926
ING5	0.0140075205183715	0.962247002915446	0.99504280561031	0.996736254736174
KARS	0.907875454863997	0.999994678303908	0.0243023910392828	0.621448199044666
KEAP1	0.410939513651988	0.967427988225044	0.750103828436612	0.99601666216953
LATS1	0.594162517614611	0.999240725923241	0.273945107423383	0.96381535756926
LCP1	0.993763307473973	0.999994678303908	0.0110847822507127	0.452998101312461
MEOX1	0.186414342279242	0.962247002915446	0.808028750408	0.99601666216953
MSMO1	0.0779001692877153	0.962247002915446	0.971003083116226	0.996736254736174
NF1	0.955942320583856	0.999994678303908	0.107732011951962	0.943424618950757
NFE2L2	0.979887134075491	0.999994678303908	0.0551427330141592	0.824451105797063
NHP2L1	0.134250409482915	0.962247002915446	0.151073189689017	0.96381535756926
OR5V1	0.56270559966943	0.999240725923241	0.552175801670776	0.978251471144728
OSBPL3	0.588969279742738	0.999240725923241	0.472226293863177	0.96381535756926
OVCH2	0.202789684215396	0.962247002915446	0.903770185248399	0.99601666216953
PAX5	0.377584545148316	0.964413859066324	0.369221504794635	0.96381535756926
PCDHGC4	0.459953272067048	0.999240725923241	0.394726412960052	0.96381535756926
PEAK1	0.304823869332212	0.962247002915446	0.840840710354663	0.99601666216953
PIK3CG	0.68821515394505	0.999240725923241	0.452501318477158	0.96381535756926
PLK1	0.893632390957954	0.999994678303908	0.0273748452397605	0.621448199044666
PLXNB2	0.237806877150757	0.962247002915446	0.883445725275285	0.99601666216953
PPAP2C	0.978256104665429	0.999994678303908	0.0197821430130357	0.621448199044666
PPIL2	0.999797650839525	0.999994678303908	0.000189383603686477	0.0386973830199368
PPP1R2P9	0.521691210202824	0.999240725923241	0.588555346965444	0.99601666216953
PRDM1	0.990419659507876	0.999994678303908	0.00807971381256545	0.410182168761895
PTCH1	0.994452254750052	0.999994678303908	0.0137027400786844	0.508384842235702
PTEN	0.698435661343503	0.999240725923241	0.43665258703916	0.96381535756926
RAMP1	0.825840948929893	0.999994678303908	0.203623605352689	0.96381535756926
RB1	0.129378613558424	0.962247002915446	0.944268993686821	0.99601666216953
RBM5	0.32966692131489	0.962247002915446	0.800862090957915	0.99601666216953
RNF111	0.616542123929014	0.999240725923241	0.531357907264152	0.978251471144728
RNF43	0.512589760879953	0.999240725923241	0.297769041780712	0.96381535756926
RPL13	0.508414293751014	0.999240725923241	0.678503021624773	0.99601666216953
RPL14	0.212122242873439	0.962247002915446	0.646840148417399	0.99601666216953
RPL18A	0.523377651791855	0.999240725923241	0.319896943776126	0.96381535756926
RPL21	0.65958140721213	0.999240725923241	0.394370390642708	0.96381535756926
RPL23	0.131855488583026	0.962247002915446	0.217323126766535	0.96381535756926
RPL23A	0.568753697130906	0.999240725923241	0.42973075826152	0.96381535756926
RPL3	0.690011518666383	0.999240725923241	0.402797566134352	0.96381535756926
RPL30	0.754739898478259	0.999994678303908	0.280112678589723	0.96381535756926
RPL34	0.501149052991533	0.999240725923241	0.684426346305288	0.99601666216953
RPL37	0.33527503176214	0.962247002915446	0.748473178683726	0.99601666216953
RPL37A	0.0194614076561297	0.962247002915446	0.474483071686957	0.96381535756926
RPL39	0.0963253407270872	0.962247002915446	0.958128437197029	0.99601666216953
RPL5	0.212133881051229	0.962247002915446	0.529751966614085	0.978251471144728
RPL8	0.985031172588537	0.999994678303908	0.0377948878598496	0.643562951613551
RPS15A	0.998864177113114	0.999994678303908	0.00430602339442487	0.410182168761895
RPS19	0.466367278633511	0.999240725923241	0.127359184541188	0.96381535756926
RPS26	0.813171766377872	0.999994678303908	0.243004975209096	0.96381535756926
RPS3A	0.227493869103411	0.962247002915446	0.556639681864309	0.978251471144728
RPS6	0.902526000503836	0.999994678303908	0.182429446049736	0.96381535756926
RPS7	0.907520748324877	0.999994678303908	0.198529459129948	0.96381535756926
RPS9	0.882702434181929	0.999994678303908	0.1574380317695	0.96381535756926
RPSA	0.878423444224078	0.999994678303908	0.0760556703491975	0.905106345331804
RRM2B	0.332628960182525	0.962247002915446	0.664665480916502	0.99601666216953
RSL24D1	0.686778142285096	0.999240725923241	0.466597596902727	0.96381535756926
SERPINB8	0.769167620733101	0.999994678303908	0.364379754091611	0.96381535756926
SESN2	0.45370839464084	0.999240725923241	0.725899339329691	0.99601666216953
SLC24A1	0.0493661502297794	0.962247002915446	0.909183878306176	0.99601666216953
