id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RPL8	7	0.00022612	0.0032927	0.671717	1	4	-0.74848	0.62823	0.75737	1.0	371	2	-0.74848
KARS	3	0.000245	0.0015498	0.625758	2	3	-1.3539	0.99976	0.99978	1.0	551	0	-1.3539
SNRNP200	3	0.00058468	0.002045	0.625758	3	1	-1.0663	0.89748	0.89163	1.0	489	0	-1.0663
candidate752	1	0.0017544	0.007036	1.0	4	1	-0.70926	0.99825	0.99296	1.0	550	0	-0.70926
RPS15A	3	0.0027878	0.016474	1.0	5	3	-1.0885	0.99721	0.99586	1.0	549	0	-1.0885
PLK1	4	0.0031216	0.023208	1.0	6	3	-1.1862	0.98001	0.97998	1.0	539	0	-1.1862
candidate746	5	0.0037258	0.030506	1.0	7	3	-0.83868	0.79487	0.81471	1.0	437	1	-0.83868
candidate545	5	0.0039369	0.030773	1.0	8	3	-1.0009	0.96701	0.96682	1.0	521	0	-1.0009
candidate90	3	0.0042248	0.028753	1.0	9	2	-0.48283	0.33577	0.4063	1.0	252	1	-0.48283
RAMP1	5	0.0048638	0.031051	1.0	10	1	0.17475	0.3086	0.47835	1.0	234	1	0.17475
candidate524	4	0.0049531	0.027664	1.0	11	3	-0.48309	0.97475	0.97312	1.0	532	0	-0.48309
candidate572	4	0.0060547	0.041865	1.0	12	4	-0.80736	0.99395	0.99255	1.0	548	0	-0.80736
candidate73	4	0.0085495	0.048104	1.0	13	2	-0.7764	0.37186	0.52345	1.0	268	1	-0.7764
TSSAAVS1	17	0.0093651	0.079511	1.0	14	10	-0.36602	0.78305	0.93553	1.0	433	4	-0.36602
candidate773	5	0.010427	0.058096	1.0	15	4	-0.65792	0.96499	0.96562	1.0	519	0	-0.65792
NF1	4	0.010691	0.065662	1.0	16	2	-0.6762	0.080857	0.1516	0.900437	105	1	-0.6762
candidate650	5	0.010953	0.058106	1.0	17	4	-0.521	0.92976	0.9304	1.0	506	0	-0.521
candidate65	6	0.011533	0.06883	1.0	18	4	-0.4598	0.82077	0.84903	1.0	449	1	-0.4598
candidate589	4	0.011645	0.067395	1.0	19	2	0.25558	0.064648	0.13321	0.900437	87	2	0.25558
candidate70	5	0.012053	0.062522	1.0	20	4	-0.55073	0.46368	0.60831	1.0	305	1	-0.55073
candidate933	5	0.012171	0.062532	1.0	21	3	-0.46563	0.99027	0.98982	1.0	547	0	-0.46563
SPHK1	2	0.012824	0.044568	1.0	22	1	-1.066	0.37765	0.38661	1.0	270	1	-1.066
