ID	Gene	week0.1	week0.2	week4.1	week4.2
AAVS1_0	AAVS1	7	7	1	4
AAVS1_3	AAVS1	3	5	3	5
AAVS1_7	AAVS1	6	8	3	5
AAVS1_8	AAVS1	19	22	22	24
AAVS1_10	AAVS1	3	1	1	1
AAVS1_11	AAVS1	3	6	5	6
AAVS1_15	AAVS1	4	15	7	11
AAVS1_19	AAVS1	4	3	12	8
AAVS1_21	AAVS1	3	10	8	14
AAVS1_25	AAVS1	11	11	24	9
AAVS1_26	AAVS1	0	4	1	3
AAVS1_30	AAVS1	7	12	12	13
AAVS1_31	AAVS1	22	19	39	23
AAVS1_32	AAVS1	1	2	2	1
AAVS1_33	AAVS1	24	34	26	45
AAVS1_34	AAVS1	4	5	5	9
AAVS1_35	AAVS1	2	7	1	4
AAVS1_36	AAVS1	0	8	1	9
AAVS1_37	AAVS1	17	11	14	18
AAVS1_38	AAVS1	0	0	0	0
AAVS1_39	AAVS1	0	0	0	0
AAVS1_40	AAVS1	8	10	16	11
AAVS1_42	AAVS1	7	13	8	10
AAVS1_43	AAVS1	2	2	0	2
AAVS1_44	AAVS1	6	6	0	7
AAVS1_45	AAVS1	25	22	34	21
AAVS1_46	AAVS1	6	8	2	2
AAVS1_47	AAVS1	12	17	13	12
AAVS1_49	AAVS1	6	7	3	0
AAVS1_51	AAVS1	0	0	0	0
AAVS1_58	AAVS1	0	0	0	0
AAVS1_62	AAVS1	30	21	13	29
AAVS1_63	AAVS1	3	7	7	4
AAVS1_64	AAVS1	24	29	17	46
AAVS1_67	AAVS1	14	10	6	14
AAVS1_68	AAVS1	29	27	23	10
AAVS1_70	AAVS1	16	26	26	22
AAVS1_82	AAVS1	3	7	1	4
AAVS1_85	AAVS1	7	7	4	11
AAVS1_86	AAVS1	1	6	0	6
AAVS1_88	AAVS1	2	7	1	3
AAVS1_89	AAVS1	61	44	47	60
AAVS1_93	AAVS1	9	7	5	14
AAVS1_101	AAVS1	2	20	14	7
AAVS1_105	AAVS1	4	6	7	10
AAVS1_106	AAVS1	2	10	1	1
AAVS1_110	AAVS1	11	21	1	15
AAVS1_126	AAVS1	12	15	24	19
AAVS1_128	AAVS1	4	13	2	7
AAVS1_129	AAVS1	5	10	7	7
AAVS1_131	AAVS1	16	30	24	43
AAVS1_134	AAVS1	4	3	1	1
AAVS1_139	AAVS1	10	13	8	12
AAVS1_146	AAVS1	0	1	1	1
AAVS1_151	AAVS1	0	0	0	0
AAVS1_156	AAVS1	0	7	0	2
AAVS1_159	AAVS1	3	2	1	3
AAVS1_160	AAVS1	12	11	6	11
AAVS1_175	AAVS1	0	4	3	2
AAVS1_177	AAVS1	117	94	72	84
AAVS1_185	AAVS1	2	9	3	4
AAVS1_189	AAVS1	18	14	10	18
AAVS1_191	AAVS1	4	5	1	4
AAVS1_195	AAVS1	11	10	7	19
AAVS1_199	AAVS1	1	2	0	2
AAVS1_200	AAVS1	4	3	9	1
AAVS1_203	AAVS1	0	0	0	0
AAVS1_211	AAVS1	4	4	4	2
AAVS1_212	AAVS1	6	8	16	18
AAVS1_232	AAVS1	8	6	12	3
ABCA13_1	ABCA13	3	2	2	5
ABCA13_2	ABCA13	34	44	29	82
ABCA13_3	ABCA13	25	17	34	16
ADAM17_1	ADAM17	5	7	2	1
ADAM17_2	ADAM17	23	18	21	21
ADAM17_3	ADAM17	7	8	8	8
ADAM17_5	ADAM17	27	25	16	24
ADAMTSL3_1	ADAMTSL3	106	67	103	89
ADAMTSL3_5	ADAMTSL3	27	33	47	35
ADAMTSL3_6	ADAMTSL3	31	38	27	21
ADAMTSL3_7	ADAMTSL3	27	22	37	38
ADAMTSL3_9	ADAMTSL3	6	10	6	9
ADAMTSL3_10	ADAMTSL3	75	65	66	80
ADAT1_1	ADAT1	0	4	3	3
ADAT1_3	ADAT1	63	59	32	42
ADAT1_4	ADAT1	13	35	34	29
ADAT1_5	ADAT1	10	9	3	3
AKT1_1	AKT1	9	22	3	13
AKT1_2	AKT1	8	12	9	14
AKT1_3	AKT1	57	65	79	50
ALDH16A1_1	ALDH16A1	9	23	4	23
ALDH16A1_2	ALDH16A1	104	78	122	134
ALDH16A1_3	ALDH16A1	17	10	11	9
ALDH16A1_5	ALDH16A1	16	32	44	19
ANKRD22_1	ANKRD22	137	140	159	122
ANKRD22_6	ANKRD22	47	38	54	48
ANKRD22_8	ANKRD22	6	7	6	8
ANKRD22_10	ANKRD22	1	2	0	1
ASAP_1	ASAP	54	62	57	53
ASAP_2	ASAP	15	45	19	47
ASAP_3	ASAP	14	22	8	37
ASAP_4	ASAP	6	11	15	19
ASAP_5	ASAP	9	9	4	3
ATM_1	ATM	61	56	85	71
ATM_2	ATM	6	16	8	18
ATM_5	ATM	6	28	8	7
ATP7A_1	ATP7A	0	3	0	4
ATP7A_2	ATP7A	55	35	51	61
ATP7A_3	ATP7A	4	5	0	8
ATP7A_5	ATP7A	9	6	0	10
ATP7B_1	ATP7B	117	117	103	110
ATP7B_2	ATP7B	1	6	0	4
ATP7B_3	ATP7B	62	39	68	63
ATR_1	ATR	50	43	39	20
ATR_3	ATR	17	22	13	21
ATR_4	ATR	4	4	9	3
ATR_5	ATR	8	13	4	15
BCL2L1_1	BCL2L1	28	15	24	9
BCL2L1_2	BCL2L1	80	73	100	111
BCL2L1_5	BCL2L1	15	25	12	29
BCL6B_2	BCL6B	11	9	6	9
BCL6B_3	BCL6B	11	16	11	12
BECN1_1	BECN1	1	17	4	23
BECN1_2	BECN1	24	26	30	45
BECN1_5	BECN1	140	73	198	80
BRCA2_1	BRCA2	19	18	24	40
BRCA2_3	BRCA2	13	18	10	20
BRCA2_4	BRCA2	4	5	2	12
BRCA2_5	BRCA2	6	8	4	3
C1R_1	C1R	23	11	14	18
C1R_2	C1R	22	26	24	39
C1R_5	C1R	19	35	38	43
CADM1_2	CADM1	0	0	0	0
CADM1_3	CADM1	8	6	2	1
CADM1_4	CADM1	11	13	6	23
CADM1_5	CADM1	0	0	0	0
CCND1_1	CCND1	9	16	14	11
CCND1_2	CCND1	2	15	4	5
CCND1_3	CCND1	13	19	7	21
CCND1_4	CCND1	12	5	4	12
CDH4_1	CDH4	51	64	51	76
CDH4_2	CDH4	23	19	32	20
CDH4_3	CDH4	30	26	30	47
CDH4_5	CDH4	3	13	7	20
CELF1_1	CELF1	4	3	6	3
CELF1_2	CELF1	31	48	35	38
CELF1_3	CELF1	47	46	47	50
CELF1_4	CELF1	7	14	8	19
CLEC2B_1	CLEC2B	144	113	158	133
CLEC2B_2	CLEC2B	24	32	62	46
CLEC2B_5	CLEC2B	1	2	0	0
CLSTN2_1	CLSTN2	238	139	290	155
CLSTN2_2	CLSTN2	46	64	68	76
CLSTN2_5	CLSTN2	9	16	19	6
CLSTN2_10	CLSTN2	44	40	42	55
CLSTN3_1	CLSTN3	3	6	3	10
CLSTN3_2	CLSTN3	15	13	33	12
CLSTN3_3	CLSTN3	31	31	36	5
CLSTN3_5	CLSTN3	17	20	16	20
DAG1_1	DAG1	13	22	12	28
DAG1_2	DAG1	13	16	16	8
DAG1_3	DAG1	1	2	2	6
DAG1_4	DAG1	1	5	4	3
DMD_1	DMD	125	139	189	143
DMD_2	DMD	2	10	0	4
DMD_5	DMD	32	36	18	23
DMD_9	DMD	2	10	0	4
DNAH6_1	DNAH6	179	158	137	135
DNAH6_2	DNAH6	25	30	37	46
DNAH6_7	DNAH6	17	20	21	36
