id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SNRNP200	5	2.5172e-05	7.4272e-05	0.045455	1	3	-1.9109	0.94731	0.9633	1.0	526	0	-1.9109
candidate685	10	5.5072e-05	0.00038126	0.116667	2	7	-0.94309	0.9998	0.99998	1.0	552	0	-0.94309
PPIL2	5	0.00016026	0.00058923	0.120202	3	2	-1.0827	0.92277	0.9379	1.0	519	0	-1.0827
TSSBRCA2	5	0.00046729	0.0013518	0.205455	4	4	-0.76343	0.98996	0.99466	1.0	543	0	-0.76343
PLK1	5	0.00049022	0.0016786	0.205455	5	4	-0.9443	0.99048	0.99467	1.0	544	0	-0.9443
RPL39	10	0.00053401	0.0024708	0.217803	6	5	-0.58663	0.3822	0.61457	1.0	324	3	-0.58663
candidate987	10	0.0005845	0.0026243	0.217803	7	4	0.030529	0.3698	0.60679	1.0	319	3	0.030529
candidate509	10	0.00091727	0.0046791	0.286364	8	7	-0.91084	0.31687	0.56104	1.0	287	1	-0.91084
TSSBCL2L1	5	0.00093795	0.0028471	0.217803	9	4	-1.2281	0.24286	0.3811	1.0	239	1	-1.2281
candidate532	10	0.0014757	0.0069568	0.320076	10	5	-0.37366	0.20641	0.40877	1.0	220	3	-0.37366
candidate660	10	0.0017159	0.007452	0.320076	11	6	-0.66752	0.25548	0.4847	1.0	246	2	-0.66752
candidate568	10	0.0017891	0.0076154	0.320076	12	6	-0.92038	0.92202	0.94001	1.0	518	1	-0.92038
TSSCELF1	4	0.001816	0.0046197	0.286364	13	3	-1.5062	0.7723	0.79082	1.0	462	0	-1.5062
RPSA	10	0.0020109	0.0083135	0.320076	14	5	-0.51847	0.24828	0.47601	1.0	242	1	-0.51847
candidate931	9	0.0021114	0.008368	0.320076	15	7	-0.81996	0.78678	0.878	1.0	464	2	-0.81996
candidate59	10	0.0021794	0.010096	0.343266	16	7	-0.75138	0.99692	0.99842	1.0	549	0	-0.75138
GLTSCR2	5	0.0022802	0.0061052	0.320076	17	4	-1.2428	0.7901	0.7892	1.0	466	1	-1.2428
candidate504	10	0.0028974	0.011641	0.367121	18	6	-0.56061	0.64885	0.81419	1.0	429	1	-0.56061
candidate502	10	0.0031331	0.011997	0.367121	19	6	-0.78802	0.43362	0.65514	1.0	349	2	-0.78802
TGFBR2	5	0.004274	0.0094227	0.339216	20	4	-1.0903	0.99719	0.99821	1.0	550	0	-1.0903
RPL23A	10	0.004664	0.015513	0.438867	21	4	0.16473	0.16644	0.36455	1.0	193	1	0.16473
candidate501	10	0.0051665	0.016384	0.438867	22	7	-0.54653	0.9961	0.99782	1.0	547	0	-0.54653
ERCC1	5	0.0052782	0.018632	0.456121	23	4	-1.4146	0.70384	0.72549	1.0	443	1	-1.4146
candidate571	10	0.0053687	0.016493	0.438867	24	7	-0.47367	0.49799	0.69953	1.0	374	3	-0.47367
candidate505	10	0.0057517	0.017702	0.451389	25	6	-0.88279	0.046738	0.13429	0.902115	87	3	-0.88279
RPL8	9	0.0058736	0.019643	0.462354	26	4	-0.087254	0.53578	0.7283	1.0	389	2	-0.087254
CELF1	5	0.0083872	0.024307	0.547078	27	4	-0.65871	0.74323	0.75324	1.0	451	1	-0.65871
TSSIK	5	0.0091702	0.02503	0.547078	28	4	-0.76343	0.79501	0.79948	1.0	468	1	-0.76343
TSSERCC1	5	0.010704	0.027466	0.579624	29	1	0.1156	0.56795	0.6503	1.0	403	1	0.1156
EIF3G	5	0.011584	0.029446	0.600707	30	4	-1.3392	0.99678	0.99805	1.0	548	0	-1.3392
